date,price
1437868800,3.75
1437955200,3.78
1438041600,3.75
1438128000,3.69
1438214400,3.64
1438300800,3.65
1438387200,3.68
1438473600,3.61
1438560000,3.62
1438646400,3.61
1438732800,3.64
1438819200,3.58
1438905600,3.51
1438992000,3.27
1439078400,3.08
1439164800,3.1
1439251200,3.08
1439337600,3.16
1439424000,3.05
1439510400,3.06
1439596800,3.02
1439683200,2.98
1439769600,2.95
1439856000,2.91
1439942400,2.6
1440028800,2.64
1440115200,2.78
1440201600,2.76
1440288000,2.68
1440374400,2.63
1440460800,2.37
1440547200,2.53
1440633600,2.61
1440720000,2.56
1440806400,2.6
1440892800,2.6
1440979200,2.56
1441065600,2.58
1441152000,2.54
1441238400,2.51
1441324800,2.48
1441411200,2.44
1441497600,2.51
1441584000,2.49
1441670400,2.37
1441756800,2.32
1441843200,2.44
1441929600,2.38
1442016000,2.38
1442102400,2.43
1442188800,2.33
1442275200,2.31
1442361600,2.32
1442448000,2.39
1442534400,2.37
1442620800,2.46
1442707200,2.36
1442793600,2.39
1442880000,2.36
1442966400,2.46
1443052800,2.43
1443139200,2.44
1443225600,2.46
1443312000,2.33
1443398400,2.37
1443484800,2.38
1443571200,2.34
1443657600,2.34
1443744000,2.29
1443830400,2.22
1443916800,2.17
1444003200,2.17
1444089600,2.34
1444176000,2.39
1444262400,2.4
1444348800,2.37
1444435200,2.36
1444521600,2.43
1444608000,2.37
1444694400,2.34
1444780800,2.36
1444867200,2.31
1444953600,2.25
1445040000,2.34
1445126400,2.44
1445212800,2.37
1445299200,2.34
1445385600,2.4
1445472000,2.28
1445558400,2.41
1445644800,2.32
1445731200,2.26
1445817600,2.18
1445904000,2.24
1445990400,2.12
1446076800,2.11
1446163200,2.41
1446249600,2.54
1446336000,2.31
1446422400,2.66
1446508800,2.61
1446595200,2.7
1446681600,2.61
1446768000,2.55
1446854400,2.73
1446940800,2.71
1447027200,2.54
1447113600,2.53
1447200000,2.42
1447286400,2.28
1447372800,2.52
1447459200,2.54
1447545600,2.38
1447632000,2.29
1447718400,2.32
1447804800,2.26
1447891200,2.36
1447977600,2.21
1448064000,2.23
1448150400,2.2
1448236800,2.08
1448323200,2.14
1448409600,2.08
1448496000,2.15
1448582400,2.18
1448668800,2.16
1448755200,2.08
1448841600,2.15
1448928000,2.17
1449014400,2.09
1449100800,2.19
1449187200,2.33
1449273600,2.35
1449360000,2.32
1449446400,2.33
1449532800,2.33
1449619200,2.41
1449705600,2.5
1449792000,2.44
1449878400,2.7
1449964800,2.59
1450051200,2.76
